Protocol,Level,Delay_ms,KEM,Outliers,Total,PctOutliers
QUIC,1,0,P-256,12,500,2.4
QUIC,1,0,mlkem512,81,500,16.2
QUIC,1,0,p256_mlkem512,1,500,0.2
QUIC,1,0,x25519,18,500,3.6
QUIC,1,0,x25519_mlkem512,7,500,1.4
QUIC,1,1,P-256,0,500,0.0
QUIC,1,1,mlkem512,8,500,1.6
QUIC,1,1,p256_mlkem512,57,500,11.4
QUIC,1,1,x25519,5,500,1.0
QUIC,1,1,x25519_mlkem512,5,500,1.0
QUIC,1,5,P-256,16,500,3.2
QUIC,1,5,mlkem512,3,500,0.6
QUIC,1,5,p256_mlkem512,79,500,15.8
QUIC,1,5,x25519,6,500,1.2
QUIC,1,5,x25519_mlkem512,5,500,1.0
QUIC,1,10,P-256,7,500,1.4
QUIC,1,10,mlkem512,8,500,1.6
QUIC,1,10,p256_mlkem512,82,500,16.4
QUIC,1,10,x25519,10,500,2.0
QUIC,1,10,x25519_mlkem512,4,500,0.8
QUIC,1,20,P-256,6,500,1.2
QUIC,1,20,mlkem512,14,500,2.8
QUIC,1,20,p256_mlkem512,15,500,3.0
QUIC,1,20,x25519,16,500,3.2
QUIC,1,20,x25519_mlkem512,1,500,0.2
QUIC,3,0,P-384,106,500,21.2
QUIC,3,0,mlkem768,47,500,9.4
QUIC,3,0,p384_mlkem768,64,500,12.8
QUIC,3,0,x448,109,500,21.8
QUIC,3,0,x448_mlkem768,24,500,4.8
QUIC,3,1,P-384,0,500,0.0
QUIC,3,1,mlkem768,10,500,2.0
QUIC,3,1,p384_mlkem768,69,500,13.8
QUIC,3,1,x448,12,500,2.4
QUIC,3,1,x448_mlkem768,25,500,5.0
QUIC,3,5,P-384,22,500,4.4
QUIC,3,5,mlkem768,19,500,3.8
QUIC,3,5,p384_mlkem768,68,500,13.6
QUIC,3,5,x448,8,500,1.6
QUIC,3,5,x448_mlkem768,35,500,7.0
QUIC,3,10,P-384,18,500,3.6
QUIC,3,10,mlkem768,24,500,4.8
QUIC,3,10,p384_mlkem768,58,500,11.6
QUIC,3,10,x448,5,500,1.0
QUIC,3,10,x448_mlkem768,25,500,5.0
QUIC,3,20,P-384,0,500,0.0
QUIC,3,20,mlkem768,3,500,0.6
QUIC,3,20,p384_mlkem768,55,500,11.0
QUIC,3,20,x448,2,500,0.4
QUIC,3,20,x448_mlkem768,30,500,6.0
QUIC,5,0,P-521,62,500,12.4
QUIC,5,0,mlkem1024,53,500,10.6
QUIC,5,0,p521_mlkem1024,68,500,13.6
QUIC,5,1,P-521,0,500,0.0
QUIC,5,1,mlkem1024,41,500,8.2
QUIC,5,1,p521_mlkem1024,72,500,14.4
QUIC,5,5,P-521,71,500,14.2
QUIC,5,5,mlkem1024,18,500,3.6
QUIC,5,5,p521_mlkem1024,53,500,10.6
QUIC,5,10,P-521,4,500,0.8
QUIC,5,10,mlkem1024,37,500,7.4
QUIC,5,10,p521_mlkem1024,61,500,12.2
QUIC,5,20,P-521,12,500,2.4
QUIC,5,20,mlkem1024,30,500,6.0
QUIC,5,20,p521_mlkem1024,69,500,13.8
TLS,1,0,P-256,77,500,15.4
TLS,1,0,mlkem512,57,500,11.4
TLS,1,0,p256_mlkem512,56,500,11.2
TLS,1,0,x25519,1,500,0.2
TLS,1,0,x25519_mlkem512,86,500,17.2
TLS,1,1,P-256,91,500,18.2
TLS,1,1,mlkem512,82,500,16.4
TLS,1,1,p256_mlkem512,4,500,0.8
TLS,1,1,x25519,89,500,17.8
TLS,1,1,x25519_mlkem512,90,500,18.0
TLS,1,5,P-256,76,500,15.2
TLS,1,5,mlkem512,68,500,13.6
TLS,1,5,p256_mlkem512,2,500,0.4
TLS,1,5,x25519,89,500,17.8
TLS,1,5,x25519_mlkem512,86,500,17.2
TLS,1,10,P-256,61,500,12.2
TLS,1,10,mlkem512,92,500,18.4
TLS,1,10,p256_mlkem512,2,500,0.4
TLS,1,10,x25519,77,500,15.4
TLS,1,10,x25519_mlkem512,80,500,16.0
TLS,1,20,P-256,86,500,17.2
TLS,1,20,mlkem512,88,500,17.6
TLS,1,20,p256_mlkem512,3,500,0.6
TLS,1,20,x25519,84,500,16.8
TLS,1,20,x25519_mlkem512,74,500,14.8
TLS,3,0,P-384,17,500,3.4
TLS,3,0,mlkem768,53,500,10.6
TLS,3,0,p384_mlkem768,65,500,13.0
TLS,3,0,x448,43,500,8.6
TLS,3,0,x448_mlkem768,18,500,3.6
TLS,3,1,P-384,3,500,0.6
TLS,3,1,mlkem768,12,500,2.4
TLS,3,1,p384_mlkem768,15,500,3.0
TLS,3,1,x448,9,500,1.8
TLS,3,1,x448_mlkem768,11,500,2.2
TLS,3,5,P-384,4,500,0.8
TLS,3,5,mlkem768,15,500,3.0
TLS,3,5,p384_mlkem768,11,500,2.2
TLS,3,5,x448,6,500,1.2
TLS,3,5,x448_mlkem768,8,500,1.6
TLS,3,10,P-384,4,500,0.8
TLS,3,10,mlkem768,11,500,2.2
TLS,3,10,p384_mlkem768,9,500,1.8
TLS,3,10,x448,12,500,2.4
TLS,3,10,x448_mlkem768,8,500,1.6
TLS,3,20,P-384,1,500,0.2
TLS,3,20,mlkem768,13,500,2.6
TLS,3,20,p384_mlkem768,8,500,1.6
TLS,3,20,x448,13,500,2.6
TLS,3,20,x448_mlkem768,4,500,0.8
TLS,5,0,P-521,57,500,11.4
TLS,5,0,mlkem1024,23,500,4.6
TLS,5,0,p521_mlkem1024,64,500,12.8
TLS,5,1,P-521,17,500,3.4
TLS,5,1,mlkem1024,16,500,3.2
TLS,5,1,p521_mlkem1024,31,500,6.2
TLS,5,5,P-521,10,500,2.0
TLS,5,5,mlkem1024,20,500,4.0
TLS,5,5,p521_mlkem1024,16,500,3.2
TLS,5,10,P-521,12,500,2.4
TLS,5,10,mlkem1024,15,500,3.0
TLS,5,10,p521_mlkem1024,14,500,2.8
TLS,5,20,P-521,8,500,1.6
TLS,5,20,mlkem1024,18,500,3.6
TLS,5,20,p521_mlkem1024,12,500,2.4
