Protocol,Level,Delay_ms,KEM,Mean,Std,Count,Min,Max,Median,IdealMean,PctIncrease
QUIC,1,0,P-256,3.3122599999999998,1.2263585948679174,500,2.6,26.64,2.96,3.3122599999999998,0.0
QUIC,1,1,P-256,2.12486,0.309387818189547,500,1.76,3.07,2.01,3.3122599999999998,-35.84863507091834
QUIC,1,5,P-256,2.11204,0.324072653226307,500,1.76,3.54,1.96,3.3122599999999998,-36.235681981486955
QUIC,1,10,P-256,2.13354,0.33028691662642234,500,1.79,4.32,1.995,3.3122599999999998,-35.586578348318056
QUIC,1,20,P-256,2.1167800000000003,0.32485272075259064,500,1.77,3.97,1.955,3.3122599999999998,-36.092577273523204
QUIC,1,0,mlkem512,2.51852,0.26932746642022354,500,2.18,3.98,2.42,2.51852,0.0
QUIC,1,1,mlkem512,1.86856,0.2786345290907128,500,1.58,3.39,1.74,2.51852,-25.807220113399936
QUIC,1,5,mlkem512,1.87214,0.26104541715885243,500,1.58,3.2,1.745,2.51852,-25.66507313819228
QUIC,1,10,mlkem512,1.87814,0.2724076950172466,500,1.58,2.9,1.75,2.51852,-25.42683798421296
QUIC,1,20,mlkem512,2.94894,0.5754794780522747,500,2.29,5.42,2.68,2.51852,17.09019582929656
QUIC,1,0,p256_mlkem512,16.21856,3.8248273339680736,500,11.92,30.53,14.7,16.21856,0.0
QUIC,1,1,p256_mlkem512,9.69582,1.6292302200179187,500,8.34,17.86,9.22,16.21856,-40.217750527790386
QUIC,1,5,p256_mlkem512,9.9281,1.8511532964760389,500,8.31,16.26,9.3,16.21856,-38.78556419312195
QUIC,1,10,p256_mlkem512,10.038219999999999,1.8385752498875307,500,8.34,16.66,9.36,16.21856,-38.10658899433736
QUIC,1,20,p256_mlkem512,13.7248,4.44762431913582,500,8.33,29.91,14.06,16.21856,-15.37596432728923
QUIC,1,0,x25519,2.8955,0.5747495315771003,500,2.31,5.99,2.605,2.8955,0.0
QUIC,1,1,x25519,1.8886599999999998,0.28533003848477556,500,1.56,3.47,1.78,2.8955,-34.77257813849077
QUIC,1,5,x25519,1.87154,0.2804223632373268,500,1.55,3.48,1.75,2.8955,-35.36384044206528
QUIC,1,10,x25519,1.9058599999999999,0.2930666075706101,500,1.57,4.33,1.86,2.8955,-34.17855292695563
QUIC,1,20,x25519,1.9218,0.3113986162403308,500,1.56,4.11,1.88,2.8955,-33.628043515800385
QUIC,1,0,x25519_mlkem512,5.04232,0.7367459581250687,500,4.25,9.64,4.675,5.04232,0.0
QUIC,1,1,x25519_mlkem512,3.62838,0.5670791241671064,500,3.0,7.27,3.4450000000000003,5.04232,-28.041457107045964
QUIC,1,5,x25519_mlkem512,3.55796,0.5091218405224766,500,3.02,5.67,3.37,5.04232,-29.438036459407574
QUIC,1,10,x25519_mlkem512,3.5659,0.560177281915599,500,3.01,6.78,3.33,5.04232,-29.28056926176839
QUIC,1,20,x25519_mlkem512,5.6686000000000005,1.0433709243464386,500,4.46,10.34,5.265000000000001,5.04232,12.420473115549992
QUIC,3,0,P-384,7.95174,1.1372256313825093,500,7.07,12.07,7.41,7.95174,0.0
QUIC,3,1,P-384,5.8822,0.8321946020681837,500,4.98,8.25,5.61,7.95174,-26.026253373475488
QUIC,3,5,P-384,5.75278,0.8605500359239183,500,4.96,8.35,5.425,7.95174,-27.653821679280266
QUIC,3,10,P-384,5.68508,0.7536046932360059,500,4.99,8.04,5.365,7.95174,-28.50520766524056
QUIC,3,20,P-384,9.43198,1.5775164645708084,500,7.38,13.27,9.215,7.95174,18.615296777812144
QUIC,3,0,mlkem768,4.99974,0.797551446000844,500,4.22,8.0,4.625,4.99974,0.0
QUIC,3,1,mlkem768,3.40836,0.5128248131457328,500,2.85,5.38,3.2649999999999997,4.99974,-31.829255121266304
QUIC,3,5,mlkem768,3.34206,0.4915326694435076,500,2.86,5.44,3.115,4.99974,-33.155324076852
QUIC,3,10,mlkem768,3.31024,0.4823056914032011,500,2.86,4.98,3.06,4.99974,-33.791757171372915
QUIC,3,20,mlkem768,5.3597399999999995,1.0518456592970113,500,4.23,10.08,4.955,4.99974,7.200374419469801
QUIC,3,0,p384_mlkem768,18.97614,3.2221437772766865,500,16.53,31.59,17.46,18.97614,0.0
QUIC,3,1,p384_mlkem768,13.6775,2.2201444170289766,500,11.82,23.11,12.754999999999999,18.97614,-27.922643909667617
QUIC,3,5,p384_mlkem768,13.43756,2.0152508823065376,500,11.84,21.42,12.65,18.97614,-29.18707387276865
QUIC,3,10,p384_mlkem768,13.75272,2.1573576861457027,500,11.82,21.81,12.8,18.97614,-27.526251387268434
QUIC,3,20,p384_mlkem768,21.641740000000002,3.3861947081647887,500,17.71,38.35,20.54,18.97614,14.047113901984288
QUIC,3,0,x448,5.80264,0.931035275254131,500,5.06,9.96,5.37,5.80264,0.0
QUIC,3,1,x448,4.19826,0.6536188550028453,500,3.61,6.72,3.84,5.80264,-27.64913901258737
QUIC,3,5,x448,4.12182,0.5884677358634919,500,3.61,6.4,3.8,5.80264,-28.966470434147222
QUIC,3,10,x448,4.35994,0.7350973627114509,500,3.62,9.7,4.03,5.80264,-24.862821060758556
QUIC,3,20,x448,6.78644,1.1335726267868327,500,5.35,11.06,6.595,5.80264,16.95435181227854
QUIC,3,0,x448_mlkem768,9.70884,1.4481666436067755,500,8.18,14.28,9.25,9.70884,0.0
QUIC,3,1,x448_mlkem768,6.46526,0.9883173958551474,500,5.49,9.8,6.15,9.70884,-33.40852254234286
QUIC,3,5,x448_mlkem768,6.39324,0.9408913089781524,500,5.49,10.89,6.08,9.70884,-34.15032073862584
QUIC,3,10,x448_mlkem768,6.53642,1.0437575596308621,500,5.5,11.23,6.24,9.70884,-32.675582252874705
QUIC,3,20,x448_mlkem768,10.23974,1.6898018205652316,500,8.18,18.95,10.01,9.70884,5.468212474404759
QUIC,5,0,P-521,8.38654,1.2798763985601036,500,7.17,12.43,7.74,8.38654,0.0
QUIC,5,1,P-521,5.727060000000001,0.849814052748304,500,4.83,8.04,5.38,8.38654,-31.71128975715849
QUIC,5,5,P-521,5.51904,0.7904337096168137,500,4.84,8.59,5.17,8.38654,-34.19169287930421
QUIC,5,10,P-521,5.64586,0.8647097236717212,500,4.85,9.26,5.275,8.38654,-32.67950787809991
QUIC,5,20,P-521,8.8769,1.4107427050883226,500,7.18,15.08,8.63,8.38654,5.846988150059489
QUIC,5,0,mlkem1024,5.333060000000001,0.8746159972727302,500,4.48,8.91,4.93,5.333060000000001,0.0
QUIC,5,1,mlkem1024,3.5382399999999996,0.5497418800394771,500,3.04,7.39,3.3,5.333060000000001,-33.65459979823967
QUIC,5,5,mlkem1024,3.56392,0.5671327116515591,500,3.03,6.34,3.28,5.333060000000001,-33.17307512009992
QUIC,5,10,mlkem1024,3.6638200000000003,0.627822849744514,500,3.04,7.28,3.45,5.333060000000001,-31.299854117523523
QUIC,5,20,mlkem1024,5.4132,0.9178816773130917,500,4.49,13.49,5.02,5.333060000000001,1.502702013478176
QUIC,5,0,p521_mlkem1024,20.29828,3.4770862081054563,500,17.19,37.33,18.695,20.29828,0.0
QUIC,5,1,p521_mlkem1024,13.64128,2.376201048827498,500,11.69,22.56,12.63,20.29828,-32.795882212680084
QUIC,5,5,p521_mlkem1024,14.071200000000001,2.2569097108404175,500,11.77,22.63,13.17,20.29828,-30.677870243193006
QUIC,5,10,p521_mlkem1024,13.398459999999998,2.049994825840286,500,11.71,23.17,12.63,20.29828,-33.99214120605293
QUIC,5,20,p521_mlkem1024,21.54128,3.386211573312937,500,17.33,34.58,20.3,20.29828,6.123671562319577
TLS,1,0,P-256,5.165,1.422521048091918,500,2.08,20.78,5.49,5.165,0.0
TLS,1,1,P-256,1.81826,0.29409480769272967,500,1.57,3.29,1.69,5.165,-64.79651500484027
TLS,1,5,P-256,1.8398999999999999,0.3297047169829417,500,1.55,3.86,1.69,5.165,-64.37754114230397
TLS,1,10,P-256,1.7965799999999998,0.26106323299776707,500,1.52,3.09,1.7,5.165,-65.21626331074542
TLS,1,20,P-256,1.82808,0.3054329585758038,500,1.55,3.38,1.69,5.165,-64.60638915779285
TLS,1,0,mlkem512,5.09624,1.0665205081894946,500,2.05,7.91,5.3,5.09624,0.0
TLS,1,1,mlkem512,1.7672,0.2831113987960509,500,1.48,2.99,1.66,5.09624,-65.32345415443542
TLS,1,5,mlkem512,1.7925799999999998,0.3053732949990834,500,1.52,3.0,1.65,5.09624,-64.82543993218529
TLS,1,10,mlkem512,1.7997,0.322737709693982,500,1.49,3.56,1.66,5.09624,-64.68572908654224
TLS,1,20,mlkem512,1.79754,0.3050105100196466,500,1.5,3.06,1.67,5.09624,-64.72811327566991
TLS,1,0,p256_mlkem512,21.82504,3.4944360295660672,500,9.47,29.1,22.375,21.82504,0.0
TLS,1,1,p256_mlkem512,7.5622,0.6715115900945138,500,6.59,11.73,7.43,21.82504,-65.35080806266564
TLS,1,5,p256_mlkem512,7.67638,0.5981259104984662,500,6.54,10.13,7.745,21.82504,-64.82764750946619
TLS,1,10,p256_mlkem512,7.558859999999999,0.6210364505774938,500,6.71,10.42,7.46,21.82504,-65.3661115855916
TLS,1,20,p256_mlkem512,7.61766,0.6154825439635534,500,6.51,12.37,7.5649999999999995,21.82504,-65.09669627180523
TLS,1,0,x25519,4.67102,1.203321538513335,500,1.99,8.09,5.085,4.67102,0.0
TLS,1,1,x25519,1.68898,0.26919228922306515,500,1.41,3.62,1.58,4.67102,-63.84130232797119
TLS,1,5,x25519,1.7080199999999999,0.3125835833712101,500,1.47,3.61,1.58,4.67102,-63.43368257896563
TLS,1,10,x25519,1.6853399999999998,0.28036135500235676,500,1.41,3.46,1.58,4.67102,-63.91922963292814
TLS,1,20,x25519,1.6999000000000002,0.30453649198396515,500,1.46,4.62,1.59,4.67102,-63.607520413100346
TLS,1,0,x25519_mlkem512,5.89926,1.2901489142117215,500,2.46,8.63,6.3,5.89926,0.0
TLS,1,1,x25519_mlkem512,2.071,0.32443785204516346,500,1.8,3.51,1.92,5.89926,-64.89390194702386
TLS,1,5,x25519_mlkem512,2.0605,0.30602033738591244,500,1.75,3.34,1.935,5.89926,-65.07189037269082
TLS,1,10,x25519_mlkem512,2.07998,0.3279006515311444,500,1.76,3.93,1.94,5.89926,-64.74167946488204
TLS,1,20,x25519_mlkem512,2.1038200000000002,0.3826272531193502,500,1.8,4.54,1.94,5.89926,-64.33756098222489
TLS,3,0,P-384,26.9932,2.2823021636787386,500,13.17,34.49,26.83,26.9932,0.0
TLS,3,1,P-384,8.79776,0.5338139160737471,500,7.75,11.85,8.74,26.9932,-67.40749522101864
TLS,3,5,P-384,8.844479999999999,0.5862594390367784,500,7.79,11.41,8.8,26.9932,-67.23441459330499
TLS,3,10,P-384,8.81198,0.5452872233161371,500,7.59,12.54,8.754999999999999,26.9932,-67.35481528681298
TLS,3,20,P-384,8.81106,0.5171211705297131,500,7.67,10.76,8.75,26.9932,-67.35822355259845
TLS,3,0,mlkem768,13.94332,2.230005386910826,500,5.75,26.95,14.434999999999999,13.94332,0.0
TLS,3,1,mlkem768,4.3555,0.3088921798257687,500,3.82,6.17,4.25,13.94332,-68.76281975885227
TLS,3,5,mlkem768,4.6515,0.46219519555875416,500,4.07,7.11,4.43,13.94332,-66.6399394118474
TLS,3,10,mlkem768,4.65112,0.45271696555552643,500,4.01,7.66,4.43,13.94332,-66.6426647312118
TLS,3,20,mlkem768,4.63492,0.4213878605965255,500,4.12,7.11,4.43,13.94332,-66.75884939885192
TLS,3,0,p384_mlkem768,44.09332,6.187072061888238,500,20.44,58.33,45.69,44.09332,0.0
TLS,3,1,p384_mlkem768,14.251299999999999,0.6483180875815308,500,13.29,17.66,14.13,44.09332,-67.67923123049025
TLS,3,5,p384_mlkem768,15.30968,0.6318423435432201,500,13.4,18.71,15.31,44.09332,-65.27891299634501
TLS,3,10,p384_mlkem768,15.3137,0.6498127601444074,500,13.68,19.11,15.285,44.09332,-65.26979596909463
TLS,3,20,p384_mlkem768,15.25966,0.6751169158747249,500,13.47,18.35,15.305,44.09332,-65.39235421601276
TLS,3,0,x448,16.25164,2.0690158441942996,500,7.56,24.32,16.8,16.25164,0.0
TLS,3,1,x448,5.31992,0.46660157270985564,500,4.66,7.86,5.11,16.25164,-67.26533445239988
TLS,3,5,x448,5.29766,0.4093872497287629,500,4.64,6.77,5.11,16.25164,-67.40230524427072
TLS,3,10,x448,5.30444,0.4581935935150952,500,4.61,8.0,5.11,16.25164,-67.36058637774403
TLS,3,20,x448,5.32588,0.49647517642033545,500,4.6,8.68,5.11,16.25164,-67.22866123049735
TLS,3,0,x448_mlkem768,19.00646,1.6200941573121976,500,8.19,25.52,18.84,19.00646,0.0
TLS,3,1,x448_mlkem768,5.76534,0.31865273186818005,500,5.22,8.43,5.7,19.00646,-69.66641868080642
TLS,3,5,x448_mlkem768,6.1761,0.49558349043524835,500,5.5,8.58,5.965,19.00646,-67.50525873834475
TLS,3,10,x448_mlkem768,6.07182,0.42744251286413587,500,5.36,9.37,5.92,19.00646,-68.05391430071671
TLS,3,20,x448_mlkem768,6.1815,0.5082166056284202,500,5.38,8.92,5.97,19.00646,-67.4768473455867
TLS,5,0,P-521,50.5568,7.913405748543548,500,22.69,74.45,52.120000000000005,50.5568,0.0
TLS,5,1,P-521,16.42866,0.4350265516048467,500,15.82,18.96,16.32,50.5568,-67.50454933856574
TLS,5,5,P-521,17.3819,0.7971993751172746,500,15.89,22.61,17.325,50.5568,-65.61906608013165
TLS,5,10,P-521,17.270259999999997,0.8114079727217406,500,15.84,23.32,17.2,50.5568,-65.83988701816571
TLS,5,20,P-521,17.2389,0.6699186308380192,500,15.93,19.98,17.2,50.5568,-65.90191626052282
TLS,5,0,mlkem1024,25.57114,2.8102000906517293,500,11.21,43.2,25.335,25.57114,0.0
TLS,5,1,mlkem1024,8.608120000000001,0.8035747197744109,500,7.33,14.1,8.46,25.57114,-66.33658100499234
TLS,5,5,mlkem1024,8.85434,0.7263231064132678,500,7.53,12.28,8.72,25.57114,-65.37369863056554
TLS,5,10,mlkem1024,8.827,0.7645359575984122,500,7.44,12.16,8.7,25.57114,-65.48061603823686
TLS,5,20,mlkem1024,8.88378,0.7021212574194309,500,7.71,12.4,8.8,25.57114,-65.2585688397154
TLS,5,0,p521_mlkem1024,69.70432000000001,11.638087243485247,500,32.85,121.06,72.49,69.70432000000001,0.0
TLS,5,1,p521_mlkem1024,23.7165,0.7710913783901726,500,22.94,31.62,23.485,69.70432000000001,-65.97556650721219
TLS,5,5,p521_mlkem1024,24.89936,1.111369008270919,500,22.97,32.69,24.695,69.70432000000001,-64.27859851441059
TLS,5,10,p521_mlkem1024,24.8825,1.044174003074865,500,23.11,30.33,24.71,69.70432000000001,-64.30278639831792
TLS,5,20,p521_mlkem1024,25.06,0.9396404889621331,500,23.15,30.93,24.91,69.70432000000001,-64.04813934057458
